each row consists of groups of data for each agent, in form:	agentNum:choice,fitness,[expA,expB,expC]where choice has letter of choice and number for reward received
each column consists of every trial for the same agent.
this entire file is from Generation 100

0:A100,16.60,[100.00,02.25,04.05]	5:A100,17.40,[100.00,27.12,23.74]	10:A100,15.90,[100.00,36.25,19.84]	15:A100,16.90,[100.00,41.37,22.84]	20:A100,15.00,[100.00,04.87,04.87]	25:A100,15.40,[100.00,11.10,17.02]	30:A100,15.90,[100.00,14.05,03.33]	35:A100,17.00,[100.00,56.68,19.97]	40:A100,16.90,[100.00,07.41,48.26]	45:A100,16.80,[100.00,09.57,04.37]	
0:A100,17.10,[100.00,02.25,04.05]	5:A100,17.90,[100.00,27.12,23.74]	10:A100,16.40,[100.00,36.25,19.84]	15:A100,17.40,[100.00,41.37,22.84]	20:A100,15.50,[100.00,04.87,04.87]	25:A100,15.90,[100.00,11.10,17.02]	30:A100,16.40,[100.00,14.05,03.33]	35:A100,17.50,[100.00,56.68,19.97]	40:A100,17.40,[100.00,07.41,48.26]	45:A100,17.30,[100.00,09.57,04.37]	
0:A100,17.60,[100.00,02.25,04.05]	5:A100,18.40,[100.00,27.12,23.74]	10:A100,16.90,[100.00,36.25,19.84]	15:A100,17.90,[100.00,41.37,22.84]	20:A100,16.00,[100.00,04.87,04.87]	25:A100,16.40,[100.00,11.10,17.02]	30:A100,16.90,[100.00,14.05,03.33]	35:B000,17.50,[100.00,19.39,19.97]	40:A100,17.90,[100.00,07.41,48.26]	45:A100,17.80,[100.00,09.57,04.37]	
0:A100,18.10,[100.00,02.25,04.05]	5:A100,18.90,[100.00,27.12,23.74]	10:A100,17.40,[100.00,36.25,19.84]	15:A100,18.40,[100.00,41.37,22.84]	20:A100,16.50,[100.00,04.87,04.87]	25:A100,16.90,[100.00,11.10,17.02]	30:A100,17.40,[100.00,14.05,03.33]	35:A100,18.00,[100.00,19.39,19.97]	40:A100,18.40,[100.00,07.41,48.26]	45:A100,18.30,[100.00,09.57,04.37]	
0:A100,18.60,[100.00,02.25,04.05]	5:A100,19.40,[100.00,27.12,23.74]	10:A100,17.90,[100.00,36.25,19.84]	15:A100,18.90,[100.00,41.37,22.84]	20:A100,17.00,[100.00,04.87,04.87]	25:B220,18.00,[100.00,150.41,17.02]	30:A100,17.90,[100.00,14.05,03.33]	35:A100,18.50,[100.00,19.39,19.97]	40:A100,18.90,[100.00,07.41,48.26]	45:A100,18.80,[100.00,09.57,04.37]	
0:A100,19.10,[100.00,02.25,04.05]	5:A100,19.90,[100.00,27.12,23.74]	10:A100,18.40,[100.00,36.25,19.84]	15:A100,19.40,[100.00,41.37,22.84]	20:A100,17.50,[100.00,04.87,04.87]	25:B220,19.10,[100.00,196.82,17.02]	30:A100,18.40,[100.00,14.05,03.33]	35:A100,19.00,[100.00,19.39,19.97]	40:A100,19.40,[100.00,07.41,48.26]	45:A100,19.30,[100.00,09.57,04.37]	
0:A100,19.60,[100.00,02.25,04.05]	5:A100,20.40,[100.00,27.12,23.74]	10:A100,18.90,[100.00,36.25,19.84]	15:A100,19.90,[100.00,41.37,22.84]	20:A100,18.00,[100.00,04.87,04.87]	25:B000,19.10,[100.00,65.56,17.02]	30:A100,18.90,[100.00,14.05,03.33]	35:A100,19.50,[100.00,19.39,19.97]	40:A100,19.90,[100.00,07.41,48.26]	45:A100,19.80,[100.00,09.57,04.37]	
0:A100,20.10,[100.00,02.25,04.05]	5:A100,20.90,[100.00,27.12,23.74]	10:A100,19.40,[100.00,36.25,19.84]	15:A100,20.40,[100.00,41.37,22.84]	20:A100,18.50,[100.00,04.87,04.87]	25:A100,19.60,[100.00,65.56,17.02]	30:A100,19.40,[100.00,14.05,03.33]	35:A100,20.00,[100.00,19.39,19.97]	40:A100,20.40,[100.00,07.41,48.26]	45:A100,20.30,[100.00,09.57,04.37]	
0:A100,20.60,[100.00,02.25,04.05]	5:A100,21.40,[100.00,27.12,23.74]	10:A100,19.90,[100.00,36.25,19.84]	15:A100,20.90,[100.00,41.37,22.84]	20:A100,19.00,[100.00,04.87,04.87]	25:A100,20.10,[100.00,65.56,17.02]	30:A100,19.90,[100.00,14.05,03.33]	35:A100,20.50,[100.00,19.39,19.97]	40:A100,20.90,[100.00,07.41,48.26]	45:A100,20.80,[100.00,09.57,04.37]	
0:A100,21.10,[100.00,02.25,04.05]	5:A100,21.90,[100.00,27.12,23.74]	10:A100,20.40,[100.00,36.25,19.84]	15:A100,21.40,[100.00,41.37,22.84]	20:A100,19.50,[100.00,04.87,04.87]	25:A100,20.60,[100.00,65.56,17.02]	30:A100,20.40,[100.00,14.05,03.33]	35:A100,21.00,[100.00,19.39,19.97]	40:A100,21.40,[100.00,07.41,48.26]	45:A100,21.30,[100.00,09.57,04.37]	
