each row consists of groups of data for each agent, in form:	agentNum:choice,fitness,[expA,expB,expC]where choice has letter of choice and number for reward received
each column consists of every trial for the same agent.
this entire file is from Generation 0

0:A100,19.60,[100.00,49.61,54.83]	5:A100,22.10,[100.00,48.10,40.00]	10:C180,21.00,[100.00,80.31,161.71]	15:A100,18.60,[100.00,68.52,50.00]	20:C180,16.10,[100.00,43.75,104.38]	25:A100,18.10,[100.00,52.62,41.56]	30:A100,16.80,[100.00,75.00,119.92]	35:A100,18.00,[100.00,159.69,21.48]	40:C180,17.40,[100.00,39.38,130.16]	45:B220,19.60,[100.00,159.69,76.97]	
0:A100,20.10,[100.00,49.61,54.83]	5:A100,22.60,[100.00,48.10,40.00]	10:C000,21.00,[100.00,80.31,80.85]	15:A100,19.10,[100.00,68.52,50.00]	20:C180,17.00,[100.00,43.75,142.19]	25:A100,18.60,[100.00,52.62,41.56]	30:C000,16.80,[100.00,75.00,59.96]	35:B220,19.10,[100.00,189.84,21.48]	40:A100,17.90,[100.00,39.38,130.16]	45:B000,19.60,[100.00,79.84,76.97]	
0:B220,21.20,[100.00,134.80,54.83]	5:B220,23.70,[100.00,134.05,40.00]	10:B000,21.00,[100.00,40.16,80.85]	15:A100,19.60,[100.00,68.52,50.00]	20:C180,17.90,[100.00,43.75,161.09]	25:A100,19.10,[100.00,52.62,41.56]	30:A100,17.30,[100.00,75.00,59.96]	35:B220,20.20,[100.00,204.92,21.48]	40:C180,18.80,[100.00,39.38,155.08]	45:C000,19.60,[100.00,79.84,38.49]	
0:B000,21.20,[100.00,67.40,54.83]	5:B000,23.70,[100.00,67.02,40.00]	10:A100,21.50,[100.00,40.16,80.85]	15:A100,20.10,[100.00,68.52,50.00]	20:C000,17.90,[100.00,43.75,80.55]	25:A100,19.60,[100.00,52.62,41.56]	30:B220,18.40,[100.00,147.50,59.96]	35:B220,21.30,[100.00,212.46,21.48]	40:C180,19.70,[100.00,39.38,167.54]	45:A100,20.10,[100.00,79.84,38.49]	
0:A100,21.70,[100.00,67.40,54.83]	5:A100,24.20,[100.00,67.02,40.00]	10:A100,22.00,[100.00,40.16,80.85]	15:A100,20.60,[100.00,68.52,50.00]	20:A100,18.40,[100.00,43.75,80.55]	25:A100,20.10,[100.00,52.62,41.56]	30:B220,19.50,[100.00,183.75,59.96]	35:B000,21.30,[100.00,106.23,21.48]	40:C000,19.70,[100.00,39.38,83.77]	45:A100,20.60,[100.00,79.84,38.49]	
0:A100,22.20,[100.00,67.40,54.83]	5:A100,24.70,[100.00,67.02,40.00]	10:A100,22.50,[100.00,40.16,80.85]	15:A100,21.10,[100.00,68.52,50.00]	20:A100,18.90,[100.00,43.75,80.55]	25:A100,20.60,[100.00,52.62,41.56]	30:B000,19.50,[100.00,91.88,59.96]	35:A100,21.80,[100.00,106.23,21.48]	40:C000,19.70,[100.00,39.38,41.88]	45:A100,21.10,[100.00,79.84,38.49]	
0:A100,22.70,[100.00,67.40,54.83]	5:A100,25.20,[100.00,67.02,40.00]	10:A100,23.00,[100.00,40.16,80.85]	15:A100,21.60,[100.00,68.52,50.00]	20:C180,19.80,[100.00,43.75,130.27]	25:A100,21.10,[100.00,52.62,41.56]	30:C180,20.40,[100.00,91.88,119.98]	35:B000,21.80,[100.00,53.12,21.48]	40:A100,20.20,[100.00,39.38,41.88]	45:A100,21.60,[100.00,79.84,38.49]	
0:A100,23.20,[100.00,67.40,54.83]	5:A100,25.70,[100.00,67.02,40.00]	10:A100,23.50,[100.00,40.16,80.85]	15:A100,22.10,[100.00,68.52,50.00]	20:C000,19.80,[100.00,43.75,65.14]	25:A100,21.60,[100.00,52.62,41.56]	30:A100,20.90,[100.00,91.88,119.98]	35:A100,22.30,[100.00,53.12,21.48]	40:A100,20.70,[100.00,39.38,41.88]	45:A100,22.10,[100.00,79.84,38.49]	
0:A100,23.70,[100.00,67.40,54.83]	5:A100,26.20,[100.00,67.02,40.00]	10:A100,24.00,[100.00,40.16,80.85]	15:A100,22.60,[100.00,68.52,50.00]	20:A100,20.30,[100.00,43.75,65.14]	25:A100,22.10,[100.00,52.62,41.56]	30:C000,20.90,[100.00,91.88,59.99]	35:A100,22.80,[100.00,53.12,21.48]	40:A100,21.20,[100.00,39.38,41.88]	45:A100,22.60,[100.00,79.84,38.49]	
0:B220,24.80,[100.00,143.70,54.83]	5:A100,26.70,[100.00,67.02,40.00]	10:A100,24.50,[100.00,40.16,80.85]	15:A100,23.10,[100.00,68.52,50.00]	20:A100,20.80,[100.00,43.75,65.14]	25:A100,22.60,[100.00,52.62,41.56]	30:B220,22.00,[100.00,155.94,59.99]	35:A100,23.30,[100.00,53.12,21.48]	40:A100,21.70,[100.00,39.38,41.88]	45:B000,22.60,[100.00,39.92,38.49]	
