each row consists of groups of data for each agent, in form:	agentNum:choice,fitness,[expA,expB,expC]where choice has letter of choice and number for reward received
each column consists of every trial for the same agent.
this entire file is from Generation 200

0:A100,16.20,[100.00,17.13,28.98]	5:A100,17.40,[100.00,20.00,09.17]	10:A100,16.00,[100.00,24.01,24.01]	15:A100,19.40,[100.00,11.76,21.13]	20:A100,16.60,[100.00,15.18,07.18]	25:A100,16.80,[100.00,42.11,03.91]	30:A100,16.30,[100.00,27.32,03.64]	35:A100,16.90,[100.00,03.20,22.32]	40:A100,15.40,[100.00,00.16,00.29]	45:A100,17.00,[100.00,24.42,20.23]	
0:A100,16.70,[100.00,17.13,28.98]	5:A100,17.90,[100.00,20.00,09.17]	10:A100,16.50,[100.00,24.01,24.01]	15:A100,19.90,[100.00,11.76,21.13]	20:A100,17.10,[100.00,15.18,07.18]	25:A100,17.30,[100.00,42.11,03.91]	30:A100,16.80,[100.00,27.32,03.64]	35:A100,17.40,[100.00,03.20,22.32]	40:A100,15.90,[100.00,00.16,00.29]	45:A100,17.50,[100.00,24.42,20.23]	
0:A100,17.20,[100.00,17.13,28.98]	5:A100,18.40,[100.00,20.00,09.17]	10:A100,17.00,[100.00,24.01,24.01]	15:A100,20.40,[100.00,11.76,21.13]	20:A100,17.60,[100.00,15.18,07.18]	25:A100,17.80,[100.00,42.11,03.91]	30:A100,17.30,[100.00,27.32,03.64]	35:A100,17.90,[100.00,03.20,22.32]	40:A100,16.40,[100.00,00.16,00.29]	45:A100,18.00,[100.00,24.42,20.23]	
0:A100,17.70,[100.00,17.13,28.98]	5:A100,18.90,[100.00,20.00,09.17]	10:A100,17.50,[100.00,24.01,24.01]	15:A100,20.90,[100.00,11.76,21.13]	20:A100,18.10,[100.00,15.18,07.18]	25:A100,18.30,[100.00,42.11,03.91]	30:A100,17.80,[100.00,27.32,03.64]	35:A100,18.40,[100.00,03.20,22.32]	40:A100,16.90,[100.00,00.16,00.29]	45:A100,18.50,[100.00,24.42,20.23]	
0:A100,18.20,[100.00,17.13,28.98]	5:A100,19.40,[100.00,20.00,09.17]	10:A100,18.00,[100.00,24.01,24.01]	15:A100,21.40,[100.00,11.76,21.13]	20:A100,18.60,[100.00,15.18,07.18]	25:A100,18.80,[100.00,42.11,03.91]	30:A100,18.30,[100.00,27.32,03.64]	35:A100,18.90,[100.00,03.20,22.32]	40:A100,17.40,[100.00,00.16,00.29]	45:A100,19.00,[100.00,24.42,20.23]	
0:A100,18.70,[100.00,17.13,28.98]	5:A100,19.90,[100.00,20.00,09.17]	10:A100,18.50,[100.00,24.01,24.01]	15:B220,22.50,[100.00,195.52,21.13]	20:A100,19.10,[100.00,15.18,07.18]	25:A100,19.30,[100.00,42.11,03.91]	30:A100,18.80,[100.00,27.32,03.64]	35:A100,19.40,[100.00,03.20,22.32]	40:A100,17.90,[100.00,00.16,00.29]	45:A100,19.50,[100.00,24.42,20.23]	
0:A100,19.20,[100.00,17.13,28.98]	5:A100,20.40,[100.00,20.00,09.17]	10:A100,19.00,[100.00,24.01,24.01]	15:B000,22.50,[100.00,22.99,21.13]	20:A100,19.60,[100.00,15.18,07.18]	25:A100,19.80,[100.00,42.11,03.91]	30:A100,19.30,[100.00,27.32,03.64]	35:A100,19.90,[100.00,03.20,22.32]	40:A100,18.40,[100.00,00.16,00.29]	45:A100,20.00,[100.00,24.42,20.23]	
0:A100,19.70,[100.00,17.13,28.98]	5:A100,20.90,[100.00,20.00,09.17]	10:A100,19.50,[100.00,24.01,24.01]	15:A100,23.00,[100.00,22.99,21.13]	20:A100,20.10,[100.00,15.18,07.18]	25:A100,20.30,[100.00,42.11,03.91]	30:A100,19.80,[100.00,27.32,03.64]	35:A100,20.40,[100.00,03.20,22.32]	40:A100,18.90,[100.00,00.16,00.29]	45:A100,20.50,[100.00,24.42,20.23]	
0:A100,20.20,[100.00,17.13,28.98]	5:A100,21.40,[100.00,20.00,09.17]	10:B220,20.60,[100.00,172.94,24.01]	15:A100,23.50,[100.00,22.99,21.13]	20:A100,20.60,[100.00,15.18,07.18]	25:A100,20.80,[100.00,42.11,03.91]	30:A100,20.30,[100.00,27.32,03.64]	35:A100,20.90,[100.00,03.20,22.32]	40:A100,19.40,[100.00,00.16,00.29]	45:A100,21.00,[100.00,24.42,20.23]	
0:A100,20.70,[100.00,17.13,28.98]	5:A100,21.90,[100.00,20.00,09.17]	10:B000,20.60,[100.00,41.53,24.01]	15:A100,24.00,[100.00,22.99,21.13]	20:A100,21.10,[100.00,15.18,07.18]	25:C180,21.70,[100.00,42.11,145.17]	30:A100,20.80,[100.00,27.32,03.64]	35:A100,21.40,[100.00,03.20,22.32]	40:A100,19.90,[100.00,00.16,00.29]	45:A100,21.50,[100.00,24.42,20.23]	
