each row consists of groups of data for each agent, in form:	agentNum:choice,fitness,[expA,expB,expC]where choice has letter of choice and number for reward received
each column consists of every trial for the same agent.
this entire file is from Generation 50

0:C180,25.50,[100.00,58.02,167.46]	5:A100,20.20,[100.00,45.50,53.76]	10:A100,20.30,[100.00,56.61,67.05]	15:A100,20.30,[100.00,59.85,19.14]	20:A100,24.60,[100.00,59.12,49.27]	25:A100,21.90,[100.00,17.92,15.33]	30:A100,19.50,[100.00,00.08,00.08]	35:A100,23.40,[100.00,57.86,61.86]	40:A100,22.70,[100.00,29.56,27.21]	45:A100,22.20,[100.00,06.74,05.70]	
0:C180,26.40,[100.00,58.02,175.99]	5:A100,20.70,[100.00,45.50,53.76]	10:C000,20.30,[100.00,56.61,47.06]	15:A100,20.80,[100.00,59.85,19.14]	20:A100,25.10,[100.00,59.12,49.27]	25:A100,22.40,[100.00,17.92,15.33]	30:A100,20.00,[100.00,00.08,00.08]	35:A100,23.90,[100.00,57.86,61.86]	40:A100,23.20,[100.00,29.56,27.21]	45:A100,22.70,[100.00,06.74,05.70]	
0:C180,27.30,[100.00,58.02,178.72]	5:A100,21.20,[100.00,45.50,53.76]	10:A100,20.80,[100.00,56.61,47.06]	15:A100,21.30,[100.00,59.85,19.14]	20:A100,25.60,[100.00,59.12,49.27]	25:A100,22.90,[100.00,17.92,15.33]	30:A100,20.50,[100.00,00.08,00.08]	35:A100,24.40,[100.00,57.86,61.86]	40:A100,23.70,[100.00,29.56,27.21]	45:A100,23.20,[100.00,06.74,05.70]	
0:C000,27.30,[100.00,58.02,57.08]	5:C000,21.20,[100.00,45.50,35.69]	10:A100,21.30,[100.00,56.61,47.06]	15:B220,22.40,[100.00,149.93,19.14]	20:A100,26.10,[100.00,59.12,49.27]	25:A100,23.40,[100.00,17.92,15.33]	30:A100,21.00,[100.00,00.08,00.08]	35:A100,24.90,[100.00,57.86,61.86]	40:A100,24.20,[100.00,29.56,27.21]	45:A100,23.70,[100.00,06.74,05.70]	
0:B000,27.30,[100.00,18.53,57.08]	5:C000,21.20,[100.00,45.50,23.70]	10:B220,22.40,[100.00,105.33,47.06]	15:B000,22.40,[100.00,65.60,19.14]	20:A100,26.60,[100.00,59.12,49.27]	25:A100,23.90,[100.00,17.92,15.33]	30:A100,21.50,[100.00,00.08,00.08]	35:C180,25.80,[100.00,57.86,105.01]	40:A100,24.70,[100.00,29.56,27.21]	45:A100,24.20,[100.00,06.74,05.70]	
0:A100,27.80,[100.00,18.53,57.08]	5:A100,21.70,[100.00,45.50,23.70]	10:B000,22.40,[100.00,73.92,47.06]	15:A100,22.90,[100.00,65.60,19.14]	20:B220,27.70,[100.00,128.19,49.27]	25:A100,24.40,[100.00,17.92,15.33]	30:A100,22.00,[100.00,00.08,00.08]	35:A100,26.30,[100.00,57.86,105.01]	40:A100,25.20,[100.00,29.56,27.21]	45:A100,24.70,[100.00,06.74,05.70]	
0:A100,28.30,[100.00,18.53,57.08]	5:A100,22.20,[100.00,45.50,23.70]	10:A100,22.90,[100.00,73.92,47.06]	15:A100,23.40,[100.00,65.60,19.14]	20:B220,28.80,[100.00,167.60,49.27]	25:A100,24.90,[100.00,17.92,15.33]	30:C180,22.90,[100.00,00.08,174.92]	35:C000,26.30,[100.00,57.86,66.66]	40:A100,25.70,[100.00,29.56,27.21]	45:A100,25.20,[100.00,06.74,05.70]	
0:A100,28.80,[100.00,18.53,57.08]	5:A100,22.70,[100.00,45.50,23.70]	10:B220,24.00,[100.00,117.48,47.06]	15:A100,23.90,[100.00,65.60,19.14]	20:B220,29.90,[100.00,190.10,49.27]	25:A100,25.40,[100.00,17.92,15.33]	30:C000,22.90,[100.00,00.08,04.93]	35:A100,26.80,[100.00,57.86,66.66]	40:A100,26.20,[100.00,29.56,27.21]	45:A100,25.70,[100.00,06.74,05.70]	
0:C180,29.70,[100.00,18.53,140.74]	5:A100,23.20,[100.00,45.50,23.70]	10:B220,25.10,[100.00,148.05,47.06]	15:A100,24.40,[100.00,65.60,19.14]	20:B000,29.90,[100.00,108.49,49.27]	25:A100,25.90,[100.00,17.92,15.33]	30:A100,23.40,[100.00,00.08,04.93]	35:B220,27.90,[100.00,117.07,66.66]	40:A100,26.70,[100.00,29.56,27.21]	45:A100,26.20,[100.00,06.74,05.70]	
0:C000,29.70,[100.00,18.53,44.95]	5:C000,23.20,[100.00,45.50,15.74]	10:A100,25.60,[100.00,148.05,47.06]	15:A100,24.90,[100.00,65.60,19.14]	20:B000,29.90,[100.00,61.91,49.27]	25:A100,26.40,[100.00,17.92,15.33]	30:A100,23.90,[100.00,00.08,04.93]	35:B220,29.00,[100.00,154.66,66.66]	40:A100,27.20,[100.00,29.56,27.21]	45:A100,26.70,[100.00,06.74,05.70]	
