each row consists of groups of data for each agent, in form:	agentNum:choice,fitness,[expA,expB,expC]where choice has letter of choice and number for reward received
each column consists of every trial for the same agent.
this entire file is from Generation 100

0:A100, 0.50,100.00,100.00,100.00	5:A100, 0.50,100.00,100.00,100.00	10:A100, 0.50,100.00,100.00,100.00	15:A100, 0.50,100.00,100.00,100.00	20:B220, 1.10,100.00,200.13,100.00	25:C000, 0.00,100.00,100.00,10.39	30:A100, 0.50,100.00,100.00,100.00	35:A100, 0.50,100.00,100.00,100.00	40:A100, 0.50,100.00,100.00,100.00	45:A100, 0.50,100.00,100.00,100.00	
0:A100,30.60,100.00,10.89,22.35	5:A100,23.40,100.00,16.60,27.67	10:A100,22.60,100.00, 5.79,29.20	15:C000,24.60,100.00,32.23, 5.18	20:A100,23.60,100.00, 5.89, 4.24	25:A100,25.50,100.00, 2.38,10.39	30:A100,24.20,100.00,12.35,22.21	35:A100,21.50,100.00, 0.25, 1.83	40:A100,25.60,100.00,17.70,32.07	45:A100,21.50,100.00, 7.96, 2.25	
0:A100,31.10,100.00,10.89,22.35	5:A100,23.90,100.00,16.60,27.67	10:A100,23.10,100.00, 5.79,29.20	15:A100,25.10,100.00,32.23, 5.18	20:A100,24.10,100.00, 5.89, 4.24	25:A100,26.00,100.00, 2.38,10.39	30:A100,24.70,100.00,12.35,22.21	35:A100,22.00,100.00, 0.25, 1.83	40:A100,26.10,100.00,17.70,32.07	45:A100,22.00,100.00, 7.96, 2.25	
0:A100,31.60,100.00,10.89,22.35	5:A100,24.40,100.00,16.60,27.67	10:A100,23.60,100.00, 5.79,29.20	15:A100,25.60,100.00,32.23, 5.18	20:A100,24.60,100.00, 5.89, 4.24	25:A100,26.50,100.00, 2.38,10.39	30:A100,25.20,100.00,12.35,22.21	35:A100,22.50,100.00, 0.25, 1.83	40:A100,26.60,100.00,17.70,32.07	45:A100,22.50,100.00, 7.96, 2.25	
0:A100,32.10,100.00,10.89,22.35	5:A100,24.90,100.00,16.60,27.67	10:A100,24.10,100.00, 5.79,29.20	15:A100,26.10,100.00,32.23, 5.18	20:A100,25.10,100.00, 5.89, 4.24	25:A100,27.00,100.00, 2.38,10.39	30:A100,25.70,100.00,12.35,22.21	35:A100,23.00,100.00, 0.25, 1.83	40:A100,27.10,100.00,17.70,32.07	45:A100,23.00,100.00, 7.96, 2.25	
0:A100,32.60,100.00,10.89,22.35	5:A100,25.40,100.00,16.60,27.67	10:A100,24.60,100.00, 5.79,29.20	15:A100,26.60,100.00,32.23, 5.18	20:A100,25.60,100.00, 5.89, 4.24	25:A100,27.50,100.00, 2.38,10.39	30:A100,26.20,100.00,12.35,22.21	35:A100,23.50,100.00, 0.25, 1.83	40:A100,27.60,100.00,17.70,32.07	45:A100,23.50,100.00, 7.96, 2.25	
0:A100,33.10,100.00,10.89,22.35	5:A100,25.90,100.00,16.60,27.67	10:C180,25.50,100.00, 5.79,153.46	15:A100,27.10,100.00,32.23, 5.18	20:A100,26.10,100.00, 5.89, 4.24	25:A100,28.00,100.00, 2.38,10.39	30:A100,26.70,100.00,12.35,22.21	35:A100,24.00,100.00, 0.25, 1.83	40:A100,28.10,100.00,17.70,32.07	45:A100,24.00,100.00, 7.96, 2.25	
0:A100,33.60,100.00,10.89,22.35	5:A100,26.40,100.00,16.60,27.67	10:C180,26.40,100.00, 5.79,175.33	15:A100,27.60,100.00,32.23, 5.18	20:A100,26.60,100.00, 5.89, 4.24	25:A100,28.50,100.00, 2.38,10.39	30:A100,27.20,100.00,12.35,22.21	35:A100,24.50,100.00, 0.25, 1.83	40:A100,28.60,100.00,17.70,32.07	45:A100,24.50,100.00, 7.96, 2.25	
0:A100,34.10,100.00,10.89,22.35	5:A100,26.90,100.00,16.60,27.67	10:C000,26.40,100.00, 5.79,30.85	15:A100,28.10,100.00,32.23, 5.18	20:A100,27.10,100.00, 5.89, 4.24	25:A100,29.00,100.00, 2.38,10.39	30:B000,27.20,100.00, 1.53,22.21	35:A100,25.00,100.00, 0.25, 1.83	40:A100,29.10,100.00,17.70,32.07	45:A100,25.00,100.00, 7.96, 2.25	
0:A100,34.60,100.00,10.89,22.35	5:A100,27.40,100.00,16.60,27.67	10:A100,26.90,100.00, 5.79,30.85	15:A100,28.60,100.00,32.23, 5.18	20:A100,27.60,100.00, 5.89, 4.24	25:A100,29.50,100.00, 2.38,10.39	30:A100,27.70,100.00, 1.53,22.21	35:A100,25.50,100.00, 0.25, 1.83	40:A100,29.60,100.00,17.70,32.07	45:A100,25.50,100.00, 7.96, 2.25	
0:A100,35.10,100.00,10.89,22.35	5:A100,27.90,100.00,16.60,27.67	10:A100,27.40,100.00, 5.79,30.85	15:A100,29.10,100.00,32.23, 5.18	20:A100,28.10,100.00, 5.89, 4.24	25:A100,30.00,100.00, 2.38,10.39	30:A100,28.20,100.00, 1.53,22.21	35:A100,26.00,100.00, 0.25, 1.83	40:A100,30.10,100.00,17.70,32.07	45:A100,26.00,100.00, 7.96, 2.25	
