each row consists of groups of data for each agent, in form:	agentNum:choice,fitness,[expA,expB,expC]where choice has letter of choice and number for reward received
each column consists of every trial for the same agent.
this entire file is from Generation 200

0:A100, 0.50,100.00,100.00,100.00	5:B000, 0.00,100.00,25.55,100.00	10:B000, 0.00,100.00, 7.01,100.00	15:C180, 0.90,100.00,100.00,171.97	20:A100, 0.50,100.00,100.00,100.00	25:C000, 0.00,100.00,100.00,30.57	30:B000, 0.00,100.00, 2.53,100.00	35:C000, 0.00,100.00,100.00,26.43	40:B220, 1.10,100.00,199.14,100.00	45:A100, 0.50,100.00,100.00,100.00	
0:A100,17.70,100.00,19.72, 1.39	5:C000,19.60,100.00,25.55,45.42	10:B000,18.90,100.00,15.43, 7.01	15:A100,18.70,100.00,19.96,18.06	20:B000,16.40,100.00,33.01,36.02	25:A100,16.60,100.00,17.13, 9.34	30:A100,17.40,100.00, 2.53, 4.50	35:A100,16.50,100.00,26.43, 6.98	40:A100,16.60,100.00, 6.02, 3.02	45:A100,18.10,100.00, 2.19, 3.93	
0:A100,18.20,100.00,19.72, 1.39	5:A100,20.10,100.00,25.55,45.42	10:A100,19.40,100.00,15.43, 7.01	15:A100,19.20,100.00,19.96,18.06	20:A100,16.90,100.00,33.01,36.02	25:A100,17.10,100.00,17.13, 9.34	30:A100,17.90,100.00, 2.53, 4.50	35:A100,17.00,100.00,26.43, 6.98	40:B000,16.60,100.00, 1.05, 3.02	45:A100,18.60,100.00, 2.19, 3.93	
0:A100,18.70,100.00,19.72, 1.39	5:A100,20.60,100.00,25.55,45.42	10:A100,19.90,100.00,15.43, 7.01	15:A100,19.70,100.00,19.96,18.06	20:A100,17.40,100.00,33.01,36.02	25:A100,17.60,100.00,17.13, 9.34	30:A100,18.40,100.00, 2.53, 4.50	35:A100,17.50,100.00,26.43, 6.98	40:A100,17.10,100.00, 1.05, 3.02	45:A100,19.10,100.00, 2.19, 3.93	
0:A100,19.20,100.00,19.72, 1.39	5:A100,21.10,100.00,25.55,45.42	10:A100,20.40,100.00,15.43, 7.01	15:A100,20.20,100.00,19.96,18.06	20:A100,17.90,100.00,33.01,36.02	25:A100,18.10,100.00,17.13, 9.34	30:A100,18.90,100.00, 2.53, 4.50	35:A100,18.00,100.00,26.43, 6.98	40:A100,17.60,100.00, 1.05, 3.02	45:A100,19.60,100.00, 2.19, 3.93	
0:A100,19.70,100.00,19.72, 1.39	5:A100,21.60,100.00,25.55,45.42	10:A100,20.90,100.00,15.43, 7.01	15:A100,20.70,100.00,19.96,18.06	20:A100,18.40,100.00,33.01,36.02	25:A100,18.60,100.00,17.13, 9.34	30:A100,19.40,100.00, 2.53, 4.50	35:A100,18.50,100.00,26.43, 6.98	40:A100,18.10,100.00, 1.05, 3.02	45:A100,20.10,100.00, 2.19, 3.93	
0:A100,20.20,100.00,19.72, 1.39	5:A100,22.10,100.00,25.55,45.42	10:A100,21.40,100.00,15.43, 7.01	15:A100,21.20,100.00,19.96,18.06	20:A100,18.90,100.00,33.01,36.02	25:A100,19.10,100.00,17.13, 9.34	30:A100,19.90,100.00, 2.53, 4.50	35:A100,19.00,100.00,26.43, 6.98	40:A100,18.60,100.00, 1.05, 3.02	45:A100,20.60,100.00, 2.19, 3.93	
0:A100,20.70,100.00,19.72, 1.39	5:A100,22.60,100.00,25.55,45.42	10:A100,21.90,100.00,15.43, 7.01	15:A100,21.70,100.00,19.96,18.06	20:A100,19.40,100.00,33.01,36.02	25:A100,19.60,100.00,17.13, 9.34	30:A100,20.40,100.00, 2.53, 4.50	35:A100,19.50,100.00,26.43, 6.98	40:A100,19.10,100.00, 1.05, 3.02	45:A100,21.10,100.00, 2.19, 3.93	
0:A100,21.20,100.00,19.72, 1.39	5:A100,23.10,100.00,25.55,45.42	10:A100,22.40,100.00,15.43, 7.01	15:A100,22.20,100.00,19.96,18.06	20:A100,19.90,100.00,33.01,36.02	25:A100,20.10,100.00,17.13, 9.34	30:A100,20.90,100.00, 2.53, 4.50	35:A100,20.00,100.00,26.43, 6.98	40:A100,19.60,100.00, 1.05, 3.02	45:A100,21.60,100.00, 2.19, 3.93	
0:A100,21.70,100.00,19.72, 1.39	5:A100,23.60,100.00,25.55,45.42	10:A100,22.90,100.00,15.43, 7.01	15:B000,22.20,100.00, 2.00,18.06	20:A100,20.40,100.00,33.01,36.02	25:A100,20.60,100.00,17.13, 9.34	30:A100,21.40,100.00, 2.53, 4.50	35:A100,20.50,100.00,26.43, 6.98	40:A100,20.10,100.00, 1.05, 3.02	45:A100,22.10,100.00, 2.19, 3.93	
0:A100,22.20,100.00,19.72, 1.39	5:A100,24.10,100.00,25.55,45.42	10:A100,23.40,100.00,15.43, 7.01	15:A100,22.70,100.00, 2.00,18.06	20:A100,20.90,100.00,33.01,36.02	25:A100,21.10,100.00,17.13, 9.34	30:A100,21.90,100.00, 2.53, 4.50	35:A100,21.00,100.00,26.43, 6.98	40:A100,20.60,100.00, 1.05, 3.02	45:A100,22.60,100.00, 2.19, 3.93	
