each row consists of groups of data for each agent, in form:	agentNum(learningParameter):choice,fitness,[expA,expB,expC]where choice has letter chosen and reward received
each column consists of every trial for the same agent.
this entire file is from Generation 250

0(0.26996307377190604):A100,000.00,[100.00,054.42,073.00]	5(0.642830467967244):A100,000.00,[100.00,027.98,020.61]	10(0.7508997625793153):A100,000.00,[100.00,024.91,024.91]	15(0.020226127264129052):C000,000.00,[100.00,093.04,102.32]	20(0.25632136120506804):A100,000.00,[100.00,077.13,036.86]	25(0.7469695536870593):A100,000.00,[100.00,006.40,025.30]	30(0.9167515591709043):A100,000.00,[100.00,008.32,001.25]	35(0.19824604514577443):A100,000.00,[100.00,083.41,041.32]	40(0.041329442377927475):C180,000.00,[100.00,092.72,102.38]	45(0.8742484786605949):A100,000.00,[100.00,012.58,020.14]	
0(0.26996307377190604):A100,000.00,[100.00,054.42,073.00]	5(0.642830467967244):A100,000.00,[100.00,027.98,020.61]	10(0.7508997625793153):A100,000.00,[100.00,024.91,024.91]	15(0.020226127264129052):C000,000.00,[100.00,093.04,100.25]	20(0.25632136120506804):A100,000.00,[100.00,077.13,036.86]	25(0.7469695536870593):A100,000.00,[100.00,006.40,025.30]	30(0.9167515591709043):A100,000.00,[100.00,008.32,001.25]	35(0.19824604514577443):A100,000.00,[100.00,083.41,041.32]	40(0.041329442377927475):C000,000.00,[100.00,092.72,098.15]	45(0.8742484786605949):A100,000.00,[100.00,012.58,020.14]	
0(0.26996307377190604):B000,000.00,[100.00,039.73,073.00]	5(0.642830467967244):A100,000.00,[100.00,027.98,020.61]	10(0.7508997625793153):A100,000.00,[100.00,024.91,024.91]	15(0.020226127264129052):C000,000.00,[100.00,093.04,098.22]	20(0.25632136120506804):A100,000.00,[100.00,077.13,036.86]	25(0.7469695536870593):A100,000.00,[100.00,006.40,025.30]	30(0.9167515591709043):A100,000.00,[100.00,008.32,001.25]	35(0.19824604514577443):A100,000.00,[100.00,083.41,041.32]	40(0.041329442377927475):B220,000.00,[100.00,097.98,098.15]	45(0.8742484786605949):A100,000.00,[100.00,012.58,020.14]	
0(0.26996307377190604):A100,000.00,[100.00,039.73,073.00]	5(0.642830467967244):B000,000.00,[100.00,009.99,020.61]	10(0.7508997625793153):A100,000.00,[100.00,024.91,024.91]	15(0.020226127264129052):A100,000.00,[100.00,093.04,098.22]	20(0.25632136120506804):A100,000.00,[100.00,077.13,036.86]	25(0.7469695536870593):A100,000.00,[100.00,006.40,025.30]	30(0.9167515591709043):A100,000.00,[100.00,008.32,001.25]	35(0.19824604514577443):A100,000.00,[100.00,083.41,041.32]	40(0.041329442377927475):C000,000.00,[100.00,097.98,094.09]	45(0.8742484786605949):A100,000.00,[100.00,012.58,020.14]	
0(0.26996307377190604):C180,000.00,[100.00,039.73,101.89]	5(0.642830467967244):A100,000.00,[100.00,009.99,020.61]	10(0.7508997625793153):A100,000.00,[100.00,024.91,024.91]	15(0.020226127264129052):B000,000.00,[100.00,091.16,098.22]	20(0.25632136120506804):A100,000.00,[100.00,077.13,036.86]	25(0.7469695536870593):A100,000.00,[100.00,006.40,025.30]	30(0.9167515591709043):A100,000.00,[100.00,008.32,001.25]	35(0.19824604514577443):A100,000.00,[100.00,083.41,041.32]	40(0.041329442377927475):C000,000.00,[100.00,097.98,090.21]	45(0.8742484786605949):A100,000.00,[100.00,012.58,020.14]	
0(0.26996307377190604):A100,000.00,[100.00,039.73,101.89]	5(0.642830467967244):A100,000.00,[100.00,009.99,020.61]	10(0.7508997625793153):A100,000.00,[100.00,024.91,024.91]	15(0.020226127264129052):A100,000.00,[100.00,091.16,098.22]	20(0.25632136120506804):A100,000.00,[100.00,077.13,036.86]	25(0.7469695536870593):A100,000.00,[100.00,006.40,025.30]	30(0.9167515591709043):A100,000.00,[100.00,008.32,001.25]	35(0.19824604514577443):A100,000.00,[100.00,083.41,041.32]	40(0.041329442377927475):B220,000.00,[100.00,103.02,090.21]	45(0.8742484786605949):A100,000.00,[100.00,012.58,020.14]	
0(0.26996307377190604):C000,000.00,[100.00,039.73,074.38]	5(0.642830467967244):A100,000.00,[100.00,009.99,020.61]	10(0.7508997625793153):A100,000.00,[100.00,024.91,024.91]	15(0.020226127264129052):A100,000.00,[100.00,091.16,098.22]	20(0.25632136120506804):A100,000.00,[100.00,077.13,036.86]	25(0.7469695536870593):C180,000.00,[100.00,006.40,140.86]	30(0.9167515591709043):A100,000.00,[100.00,008.32,001.25]	35(0.19824604514577443):A100,000.00,[100.00,083.41,041.32]	40(0.041329442377927475):C180,000.00,[100.00,103.02,093.92]	45(0.8742484786605949):A100,000.00,[100.00,012.58,020.14]	
0(0.26996307377190604):A100,000.00,[100.00,039.73,074.38]	5(0.642830467967244):A100,000.00,[100.00,009.99,020.61]	10(0.7508997625793153):A100,000.00,[100.00,024.91,024.91]	15(0.020226127264129052):A100,000.00,[100.00,091.16,098.22]	20(0.25632136120506804):C180,000.00,[100.00,077.13,073.55]	25(0.7469695536870593):C000,000.00,[100.00,006.40,035.64]	30(0.9167515591709043):A100,000.00,[100.00,008.32,001.25]	35(0.19824604514577443):B000,000.00,[100.00,066.88,041.32]	40(0.041329442377927475):B000,000.00,[100.00,098.77,093.92]	45(0.8742484786605949):A100,000.00,[100.00,012.58,020.14]	
0(0.26996307377190604):A100,000.00,[100.00,039.73,074.38]	5(0.642830467967244):A100,000.00,[100.00,009.99,020.61]	10(0.7508997625793153):A100,000.00,[100.00,024.91,024.91]	15(0.020226127264129052):C000,000.00,[100.00,091.16,096.24]	20(0.25632136120506804):C180,000.00,[100.00,077.13,100.83]	25(0.7469695536870593):C180,000.00,[100.00,006.40,143.47]	30(0.9167515591709043):A100,000.00,[100.00,008.32,001.25]	35(0.19824604514577443):A100,000.00,[100.00,066.88,041.32]	40(0.041329442377927475):B000,000.00,[100.00,094.68,093.92]	45(0.8742484786605949):A100,000.00,[100.00,012.58,020.14]	
0(0.26996307377190604):C180,000.00,[100.00,039.73,102.90]	5(0.642830467967244):A100,000.00,[100.00,009.99,020.61]	10(0.7508997625793153):B000,000.00,[100.00,006.21,024.91]	15(0.020226127264129052):C000,000.00,[100.00,091.16,094.29]	20(0.25632136120506804):C180,000.00,[100.00,077.13,121.13]	25(0.7469695536870593):C000,000.00,[100.00,006.40,036.30]	30(0.9167515591709043):A100,000.00,[100.00,008.32,001.25]	35(0.19824604514577443):B220,000.00,[100.00,097.23,041.32]	40(0.041329442377927475):C180,000.00,[100.00,094.68,097.47]	45(0.8742484786605949):A100,000.00,[100.00,012.58,020.14]	
